domain,target,rank,feature,mutual_info,tree_accuracy,tree_macro_f1,tree_rule
IGP24,r,4,a18,0.5263384762197048,0.8522727272727273,0.578405017921147,"|--- a18 <= -71.50
|   |--- a18 <= -81.50
|   |   |--- class: 6
|   |--- a18 >  -81.50
|   |   |--- a18 <= -80.50
|   |   |   |--- class: 6
|   |   |--- a18 >  -80.50
|   |   |   |--- class: 6
|--- a18 >  -71.50
|   |--- a18 <= -18.50
|   |   |--- a18 <= -70.50
|   |   |   |--- class: 2
|   |   |--- a18 >  -70.50
|   |   |   |--- class: 2
|   |--- a18 >  -18.50
|   |   |--- a18 <= 34.00
|   |   |   |--- class: 6
|   |   |--- a18 >  34.00
|   |   |   |--- class: 2
"
IGP24,r,5,a18_abs,0.45194392231974323,0.8068181818181818,0.5474014336917562,"|--- a18_abs <= 71.50
|   |--- a18_abs <= 18.50
|   |   |--- a18_abs <= 4.50
|   |   |   |--- class: 6
|   |   |--- a18_abs >  4.50
|   |   |   |--- class: 6
|   |--- a18_abs >  18.50
|   |   |--- a18_abs <= 70.50
|   |   |   |--- class: 2
|   |   |--- a18_abs >  70.50
|   |   |   |--- class: 2
|--- a18_abs >  71.50
|   |--- a18_abs <= 81.50
|   |   |--- a18_abs <= 80.50
|   |   |   |--- class: 6
|   |   |--- a18_abs >  80.50
|   |   |   |--- class: 2
|   |--- a18_abs >  81.50
|   |   |--- class: 6
"
IGP24,r,6,a6_positive,0.10589858141887594,0.5681818181818182,0.24154589371980675,"|--- a6_positive <= 0.50
|   |--- class: 2
|--- a6_positive >  0.50
|   |--- class: 2
"
IGP24,r,7,a6_negative,0.08627696561518368,0.5681818181818182,0.24154589371980675,"|--- a6_negative <= 0.50
|   |--- class: 2
|--- a6_negative >  0.50
|   |--- class: 2
"
IGP24,r,8,reverse_resonance,0.08627696561518368,0.5681818181818182,0.24154589371980675,"|--- reverse_resonance <= 0.50
|   |--- class: 2
|--- reverse_resonance >  0.50
|   |--- class: 2
"
IGP24,r,9,abs_support_amplitude,0.0685809918479996,0.5568181818181818,0.25996810207336524,"|--- abs_support_amplitude <= 1.50
|   |--- class: 2
|--- abs_support_amplitude >  1.50
|   |--- abs_support_amplitude <= 15.00
|   |   |--- abs_support_amplitude <= 7.50
|   |   |   |--- class: 6
|   |   |--- abs_support_amplitude >  7.50
|   |   |   |--- class: 6
|   |--- abs_support_amplitude >  15.00
|   |   |--- class: 4
"
IGP24,r,10,active_support_slots,0.056937243424457024,0.5681818181818182,0.2729940043372879,"|--- active_support_slots_15 <= 0.50
|   |--- active_support_slots_12 <= 0.50
|   |   |--- active_support_slots_17 <= 0.50
|   |   |   |--- class: 2
|   |   |--- active_support_slots_17 >  0.50
|   |   |   |--- class: 2
|   |--- active_support_slots_12 >  0.50
|   |   |--- class: 6
|--- active_support_slots_15 >  0.50
|   |--- class: 2
"
IGP24,r,11,paired_resonance,0.04781793346287011,0.5681818181818182,0.24154589371980675,"|--- paired_resonance <= 0.50
|   |--- class: 2
|--- paired_resonance >  0.50
|   |--- class: 2
"
IGP24,r,12,support_amplitude,0.02925633658130522,0.5795454545454546,0.2644574398960364,"|--- support_amplitude <= -1.50
|   |--- support_amplitude <= -7.50
|   |   |--- class: 4
|   |--- support_amplitude >  -7.50
|   |   |--- class: 6
|--- support_amplitude >  -1.50
|   |--- support_amplitude <= 1.50
|   |   |--- support_amplitude <= 0.00
|   |   |   |--- class: 2
|   |   |--- support_amplitude >  0.00
|   |   |   |--- class: 2
|   |--- support_amplitude >  1.50
|   |   |--- support_amplitude <= 15.00
|   |   |   |--- class: 6
|   |   |--- support_amplitude >  15.00
|   |   |   |--- class: 2
"
IGP24,r,13,support_index,0.02809686526676014,0.5681818181818182,0.2729940043372879,"|--- support_index <= 14.00
|   |--- support_index <= 12.50
|   |   |--- class: 6
|   |--- support_index >  12.50
|   |   |--- class: 2
|--- support_index >  14.00
|   |--- support_index <= 16.00
|   |   |--- class: 2
|   |--- support_index >  16.00
|   |   |--- class: 2
"
