run,experiment,description,status,t,r,label,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10,coeff_11,coeff_12,coeff_13,coeff_14,coeff_15,coeff_16,coeff_17,coeff_18,coeff_19,coeff_20,coeff_21,coeff_22,coeff_23,coeff_24,support_index,support_amplitude,a6,a18,abs_support_amplitude,a6_positive,a6_negative,a6_abs,a18_abs,support_nonzero_count,active_support_slots,paired_resonance,reverse_resonance,support_face,support_bucket,threshold_zone
v120_resonance_threshold_scan,pos_resonance_threshold,"x13=-1,a6=84,a18=-84",accepted,25000,6,24T25000,-5,0,0,0,0,0,84,0,0,0,0,0,0,-1,-480,0,1,0,-84,0,0,0,0,0,1,13,-1.0,84,-84,1.0,True,False,84,84,1,13,True,False,x13_x15_x17,x13_x15_x17,high
v120_resonance_threshold_scan,pos_resonance_threshold,"x13=-1,a6=90,a18=-90",accepted,25000,6,24T25000,-5,0,0,0,0,0,90,0,0,0,0,0,0,-1,-480,0,1,0,-90,0,0,0,0,0,1,13,-1.0,90,-90,1.0,True,False,90,90,1,13,True,False,x13_x15_x17,x13_x15_x17,high
v120_resonance_threshold_scan,pos_resonance_threshold,"x13=-1,a6=96,a18=-96",accepted,25000,6,24T25000,-5,0,0,0,0,0,96,0,0,0,0,0,0,-1,-480,0,1,0,-96,0,0,0,0,0,1,13,-1.0,96,-96,1.0,True,False,96,96,1,13,True,False,x13_x15_x17,x13_x15_x17,high
v120_resonance_threshold_scan,pos_resonance_threshold,"x13=-1,a6=108,a18=-108",accepted,25000,6,24T25000,-5,0,0,0,0,0,108,0,0,0,0,0,0,-1,-480,0,1,0,-108,0,0,0,0,0,1,13,-1.0,108,-108,1.0,True,False,108,108,1,13,True,False,x13_x15_x17,x13_x15_x17,high
v120_resonance_threshold_scan,pos_resonance_threshold,"x13=-1,a6=121,a18=-121",accepted,25000,6,24T25000,-5,0,0,0,0,0,121,0,0,0,0,0,0,-1,-480,0,1,0,-121,0,0,0,0,0,1,13,-1.0,121,-121,1.0,True,False,121,121,1,13,True,False,x13_x15_x17,x13_x15_x17,high
v120_resonance_threshold_scan,pos_resonance_threshold,"x13=-1,a6=135,a18=-135",accepted,25000,6,24T25000,-5,0,0,0,0,0,135,0,0,0,0,0,0,-1,-480,0,1,0,-135,0,0,0,0,0,1,13,-1.0,135,-135,1.0,True,False,135,135,1,13,True,False,x13_x15_x17,x13_x15_x17,high
v120_resonance_threshold_scan,pos_resonance_threshold,"x13=-1,a6=162,a18=-162",accepted,25000,6,24T25000,-5,0,0,0,0,0,162,0,0,0,0,0,0,-1,-480,0,1,0,-162,0,0,0,0,0,1,13,-1.0,162,-162,1.0,True,False,162,162,1,13,True,False,x13_x15_x17,x13_x15_x17,high
v120_resonance_threshold_scan,pos_resonance_threshold,"x13=-1,a6=243,a18=-243",accepted,25000,6,24T25000,-5,0,0,0,0,0,243,0,0,0,0,0,0,-1,-480,0,1,0,-243,0,0,0,0,0,1,13,-1.0,243,-243,1.0,True,False,243,243,1,13,True,False,x13_x15_x17,x13_x15_x17,high
v120_resonance_threshold_scan,pos_resonance_threshold,"x13=1,a6=28,a18=-28",accepted,25000,2,24T25000,-5,0,0,0,0,0,28,0,0,0,0,0,0,1,-480,0,1,0,-28,0,0,0,0,0,1,13,1.0,28,-28,1.0,True,False,28,28,1,13,True,False,x13_x15_x17,x13_x15_x17,low
v120_resonance_threshold_scan,pos_resonance_threshold,"x13=1,a6=30,a18=-30",accepted,25000,2,24T25000,-5,0,0,0,0,0,30,0,0,0,0,0,0,1,-480,0,1,0,-30,0,0,0,0,0,1,13,1.0,30,-30,1.0,True,False,30,30,1,13,True,False,x13_x15_x17,x13_x15_x17,low
